"Frame" "Untracked" "Tracking ID" "Lineage ID" "Position X (µm)" "Position Y (µm)" "Pixel Position X (Pixels)" "Pixel Position Y (pixels)" "Volume (µm³)" "Mean Thickness (µm)" "Radius (µm)" "Area (µm²)" "Sphericity ()" "Length (µm)" "Width (µm)" "Orientation (°)" "Dry Mass (pg)" "Displacement (µm)" "Instantaneous Velocity (µm/s)" "Instantaneous Velocity X (µm/s)" "Instantaneous Velocity Y (µm/s)" "Track Length (µm)"
1 "1" "3" "3" "80.5156097412109" "436.922973632813" "99" "537" "1450.5068359375" "4.93785047531128" "9.66976737976074" "293.752716064453" "0.858610451221466" "19.4994430541992" "17.8744888305664" "90" "362.626525878906" "0" "0.0117776496335864" "0.00638373428955674" "-0.00989752262830734" "0"
2 "1" "3" "3" "82.7754516601563" "433.419250488281" "101" "533" "1508.81677246094" "5.17097187042236" "9.63711738586426" "291.772369384766" "0.910932958126068" "19.2043132781982" "19.1439208984375" "41.9872169494629" "377.2041015625" "4.16928768157959" "0.00198974623344839" "0.00113545916974545" "-0.00163395912386477" "4.16928768157959"
3 "1" "3" "3" "81.2948379516602" "435.805908203125" "100" "536" "1432.56640625" "4.98730373382568" "9.56050109863281" "287.151550292969" "0.881626188755035" "19.1539440155029" "17.3512210845947" "-33.6900672912598" "358.141174316406" "1.36199545860291" "0.0033589496742934" "-0.00328737893141806" "0.000689697277266532" "6.97790908813477"
4 "1" "3" "3" "80.4085388183594" "433.915832519531" "98" "534" "1495.32556152344" "5.05593681335449" "9.70230674743652" "295.733093261719" "0.88825511932373" "19.3117618560791" "17.9539051055908" "-21.8014068603516" "373.831176757813" "3.00904655456543" "0.0054594362154603" "-0.00463936058804393" "-0.00287780771031976" "9.06546974182129"
5 "1" "3" "3" "77.9544982910156" "433.73388671875" "95" "533" "1518.78234863281" "5.11272954940796" "9.72393989562988" "297.053314208984" "0.907461047172546" "19.6209335327148" "17.8041801452637" "-26.5650501251221" "379.695098876953" "4.09017944335938" "0.00414717430248857" "-0.00372364255599678" "0.00182579888496548" "11.5262460708618"
6 "1" "3" "3" "77.7275161743164" "435.230407714844" "95" "535" "1524.00183105469" "4.98634719848633" "9.86339664459229" "305.634857177734" "0.895434856414795" "19.4994430541992" "18.6869659423828" "90" "380.999877929688" "3.26163220405579" "0.00355115672573447" "0.00220475718379021" "0.00278383889235556" "13.0398826599121"
7 "1" "3" "3" "79.5419235229492" "435.738250732422" "97" "536" "1504.68408203125" "5.0992283821106" "9.69147300720215" "295.072967529297" "0.901802837848663" "19.5332660675049" "18.3842487335205" "-45" "376.170654296875" "1.53350353240967" "0.00282847136259079" "0.00171937944833189" "0.00224588182754815" "14.9240217208862"
8 "1" "3" "3" "78.9654693603516" "436.847442626953" "97" "537" "1460.07543945313" "5.04862642288208" "9.59341144561768" "289.131896972656" "0.899968147277832" "18.9587554931641" "17.8097438812256" "-45" "365.018432617188" "1.55197942256927" "0.00239247642457485" "0.000484307616716251" "0.00234294473193586" "16.1740646362305"
9 "1" "3" "3" "79.890625" "437.425170898438" "98" "538" "1465.00439453125" "5.17295980453491" "9.49433708190918" "283.190826416016" "0.887103974819183" "18.6869659423828" "17.8744888305664" "0" "366.250823974609" "0.801753103733063" "0.00499992538243532" "0.00133552553597838" "0.00481825927272439" "17.2647895812988"
10 "1" "3" "3" "79.9270477294922" "440.316589355469" "98" "541" "1478.10546875" "5.19442367553711" "9.51644325256348" "284.511077880859" "0.86630243062973" "18.6869659423828" "18.6869659423828" "0" "369.526062011719" "3.44427537918091" "0.00296733365394175" "0.00057974923402071" "0.00291014788672328" "20.156436920166"
14 "1" "3" "3" "81.4510345458984" "437.132141113281" "100" "538" "1455.62707519531" "4.80192708969116" "9.82069778442383" "302.994384765625" "0.802864670753479" "23.0982627868652" "18.662727355957" "-55.4914779663086" "363.906555175781" "0.958525240421295" "0.00413239095360041" "-0.00156056089326739" "-0.00382639560848475" "23.6867694854736"
15 "1" "3" "3" "79.9464340209961" "435.173248291016" "98" "535" "1510.51831054688" "5.24709892272949" "9.57148361206055" "287.811645507813" "0.893727004528046" "19.6209335327148" "17.0774784088135" "-26.5650501251221" "377.629272460938" "1.83997273445129" "0.00936958938837051" "-0.00926254037767649" "-0.00141228572465479" "26.1568069458008"
16 "1" "3" "3" "74.7820053100586" "436.115295410156" "92" "536" "1610.31433105469" "4.12763547897339" "11.1437082290649" "390.130035400391" "0.726969242095947" "22.7493495941162" "22.7493495941162" "0" "402.578308105469" "5.79021263122559" "0.00878514721989632" "-0.00873497873544693" "-0.000937525415793061" "31.4064521789551"
17 "1" "3" "3" "73.6572494506836" "434.498229980469" "90" "534" "1491.75634765625" "3.59845757484436" "11.4872436523438" "414.554412841797" "0.684840798377991" "21.9368724822998" "21.9368724822998" "0" "372.938751220703" "7.27437210083008" "0.00186586671043187" "-0.000592486059758812" "-0.00176929892040789" "33.3762168884277"
18 "1" "3" "3" "74.3554153442383" "434.841400146484" "91" "535" "1488.46215820313" "2.85062074661255" "12.8921175003052" "522.153747558594" "0.554887294769287" "27.3185863494873" "24.2251567840576" "81.46923828125" "372.114990234375" "6.50237989425659" "0.00183048495091498" "0.00182992091868073" "4.54372820968274E-05" "34.1541633605957"
