"Frame" "Untracked" "Tracking ID" "Lineage ID" "Position X (µm)" "Position Y (µm)" "Pixel Position X (Pixels)" "Pixel Position Y (pixels)" "Volume (µm³)" "Mean Thickness (µm)" "Radius (µm)" "Area (µm²)" "Sphericity ()" "Length (µm)" "Width (µm)" "Orientation (°)" "Dry Mass (pg)" "Displacement (µm)" "Instantaneous Velocity (µm/s)" "Instantaneous Velocity X (µm/s)" "Instantaneous Velocity Y (µm/s)" "Track Length (µm)"
16 "1" "56" "55" "489.101348876953" "75.5586242675781" "601" "92" "1172.86755371094" "3.71705651283264" "10.021897315979" "315.53662109375" "0.686792552471161" "23.4865570068359" "16.1843719482422" "-3.01278734207153" "293.216583251953" "0" "0.00649751583114266" "-0.00624779611825943" "-0.00178402790334076" "0"
17 "1" "56" "55" "486.852142333984" "74.916374206543" "599" "92" "1161.47570800781" "3.42951846122742" "10.3823270797729" "338.640777587891" "0.639900803565979" "21.9368724822998" "21.9368724822998" "0" "290.36865234375" "2.3391056060791" "0.00676054414361715" "-0.00616751797497272" "-0.00276887672953308" "2.3391056060791"
18 "1" "56" "55" "484.660736083984" "73.5650329589844" "596" "90" "1182.70971679688" "4.35916042327881" "9.2930212020874" "271.308685302734" "0.794250249862671" "17.5273780822754" "16.8900203704834" "-11.3099327087402" "295.677062988281" "4.86759185791016" "0.00618786690756679" "-0.00614674901589751" "-0.00071216159267351" "4.91367053985596"
19 "1" "56" "55" "482.426483154297" "74.4036178588867" "593" "91" "1186.21105957031" "4.39356231689453" "9.27038288116455" "269.988433837891" "0.805976390838623" "19.1232299804688" "15.8625869750977" "77.47119140625" "296.552398681641" "6.77405881881714" "0.00434717675670981" "-0.00433205487206578" "0.000362279679393396" "7.30011367797852"
20 "1" "56" "55" "481.541656494141" "73.8258743286133" "592" "90" "1173.79174804688" "4.20367193222046" "9.42770957946777" "279.230133056641" "0.787627339363098" "18.9434947967529" "16.3262996673584" "85.6012954711914" "293.447631835938" "7.7557315826416" "0.00187657971400768" "-0.00182842672802508" "-0.000422382348915562" "8.35685634613037"
21 "1" "56" "55" "481.110015869141" "74.0995025634766" "592" "91" "1097.92150878906" "3.99777388572693" "9.3493766784668" "274.609283447266" "0.760189890861511" "19.763069152832" "15.7415142059326" "81.8698959350586" "274.480041503906" "8.12345027923584" "0.001358323963359" "-0.00106722512282431" "0.000840282416902483" "8.867919921875"
22 "1" "56" "55" "480.773254394531" "74.4308776855469" "591" "91" "1110.09069824219" "4.14200448989868" "9.23632144927979" "268.008117675781" "0.797017693519592" "18.6698360443115" "15.9619970321655" "74.7448806762695" "277.522399902344" "8.40410423278809" "0.00117471604607999" "-0.00110427010804415" "0.000400680961320177" "9.34037971496582"
23 "1" "56" "55" "480.31494140625" "74.3879928588867" "591" "91" "1167.41284179688" "4.2100887298584" "9.39421844482422" "277.249755859375" "0.792191922664642" "19.234130859375" "16.4291534423828" "80.5376739501953" "291.852874755859" "8.86404705047607" "0.00154424284119159" "-0.00141262472607195" "-0.00062384078046307" "9.80069446563721"
24 "1" "56" "55" "479.756164550781" "73.9817123413086" "590" "91" "1125.99780273438" "4.02271509170532" "9.43884658813477" "279.890228271484" "0.79360556602478" "20.5419940948486" "17.0804996490479" "65.224853515625" "281.498992919922" "9.477294921875" "0.00159651960711926" "-0.0014026218559593" "0.000762579147703946" "10.4915599822998"
25 "1" "56" "55" "479.305053710938" "74.9370498657227" "589" "92" "1209.41564941406" "4.05330324172974" "9.74552440643311" "298.373565673828" "0.761228859424591" "23.5618267059326" "15.4370584487915" "90" "302.353424072266" "9.81599521636963" "0.00369961769320071" "-0.00266280910000205" "0.00256838835775852" "11.5480499267578"
26 "1" "56" "55" "477.834869384766" "75.8334350585938" "588" "93" "1223.97827148438" "4.19491577148438" "9.63711738586426" "291.772369384766" "0.746870577335358" "23.0756034851074" "14.9788999557495" "85.2363586425781" "305.994079589844" "11.2698307037354" "0.004239771515131" "-0.00418057246133685" "0.000706028018612415" "13.2699527740479"
27 "1" "56" "55" "476.295257568359" "75.4489440917969" "586" "92" "1379.03454589844" "4.38854646682739" "10.0009088516235" "314.216369628906" "0.75126588344574" "24.3743019104004" "17.06201171875" "90" "344.758270263672" "12.8065605163574" "0.00212756358087063" "-0.00126734958030283" "-0.00170890358276665" "14.8568487167358"
